Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
,,,,,,StackinStops,4,4,2,1,2,2,0,2,100.0,2,0,0,0
11/18/2025,,Regular Season,Hoop culture,0|0|0|0|0|64,Loss,,,,,,,,,,,,,,
,,,,,,Routted,23,0,3,1,0,0,0,9,50.0,18,5,13,38.5
,,,,,,TayGilgeous,16,17,5,1,0,1,1,7,63.6,11,2,2,100.0
,,,,,,StopMyMid,11,1,12,0,0,0,1,4,40.0,10,2,6,33.3
,,,,,,IKnoThatsRightJP,9,0,0,0,0,0,0,3,42.9,7,3,5,60.0
,,,,,,EST-TRU,5,1,1,2,0,2,0,2,33.3,6,1,2,50.0
,,,The 6ix,0|0|0|0|0|72,Win,,,,,,,,,,,,,,,
,,,,,,RhinoDiarrhea,23,1,12,0,0,0,3,8,72.7,11,5,6,83.3
,,,,,,StephBeenLit,17,1,3,1,0,1,0,7,63.6,11,3,6,50.0
,,,,,,InEdWeTrust-,14,0,0,0,0,2,0,6,85.7,7,2,3,66.7
,,,,,,dungardoctor,10,14,4,0,0,0,0,5,62.5,8,0,1,0.0
,,,,,,IIManuck,8,5,0,1,2,0,1,3,42.9,7,2,4,50.0
11/18/2025,,Regular Season,Lightsout,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,
,,,,,,TmChris2K,20,1,9,0,0,0,1,8,80.0,10,4,6,66.7
,,,,,,iiziii,19,0,3,0,0,4,2,7,46.7,15,5,13,38.5
,,,,,,xFatboyTrae,14,13,2,0,0,0,1,7,87.5,8,0,0,0
,,,,,,TradeLeez,6,0,1,0,0,3,0,2,66.7,3,2,2,100.0
,,,,,,Melder_,4,4,1,2,0,1,1,2,50.0,4,0,2,0.0
,,,Zentastic5,0|0|0|0|0|69,Win,,,,,,,,,,,,,,,
